1	1+1	1	3	2	4	
2	2+2	1	2	4	3	
3	2+3	1	3	5	6	
4	3+3	6	5	4	3	
5	2+8	10	11	12	13	
6	3+4	6	7	8	9	
7	6+6	10	11	12	13	
8	1+3	1	2	3	4	
9	1+4	2	3	4	5	
10	1+6	3	5	7	9	
11	1+7	8 	9	10	11	
12	1+8	8	9	10	11	
13	1+9	8	9	10	11	
14	1+10	8	9	10	12	
15	1+11	11	12	13	14	
16	1+12	11	12	13	14	
17	1+13	12	13	14	15	
18	1+14	12	13	14	15	
19	1+15	16	17	18	19	
20	1+16	16	17	18	19	
21	1+17	16	17	18	19	
22	1+18	16	17	18	19	
23	1+19	20	21	22	23	
24	1+20	20	21	22	23	
25	1+21	20	21	22	23	
26	1+22	20	21	22	23	
27	1+23	1	12	12	12	
28	1+24	213	121233	123	213	
29	1+25	213	2131	213	123	
30	1+26	213	123	213	123	
1	1+1	1	3	2	4	
2	2+2	1	2	4	3	
3	2+3	1	3	5	6	
4	3+3	6	5	4	3	
5	2+8	10	11	12	13	
6	3+4	6	7	8	9	
7	6+6	10	11	12	13	
8	1+3	1	2	3	4	
9	1+4	2	3	4	5	
10	1+6	3	5	7	9	
11	1+7	8 	9	10	11	
12	1+8	8	9	10	11	
13	1+9	8	9	10	11	
14	1+10	8	9	10	12	
15	1+11	11	12	13	14	
16	1+12	11	12	13	14	
17	1+13	12	13	14	15	
18	1+14	12	13	14	15	
19	1+15	16	17	18	19	
20	1+16	16	17	18	19	
21	1+17	16	17	18	19	
22	1+18	16	17	18	19	
23	1+19	20	21	22	23	
24	1+20	20	21	22	23	
25	1+21	20	21	22	23	
26	1+22	20	21	22	23	
27	1+23	1	12	12	12	
28	1+24	213	121233	123	213	
29	1+25	213	2131	213	123	
30	1+26	213	123	213	123	
1	1+1	1	3	2	4	
2	2+2	1	2	4	3	
3	2+3	1	3	5	6	
4	3+3	6	5	4	3	
5	2+8	10	11	12	13	
6	3+4	6	7	8	9	
7	6+6	10	11	12	13	
8	1+3	1	2	3	4	
9	1+4	2	3	4	5	
10	1+6	3	5	7	9	
11	1+7	8 	9	10	11	
12	1+8	8	9	10	11	
13	1+9	8	9	10	11	
14	1+10	8	9	10	12	
15	1+11	11	12	13	14	
16	1+12	11	12	13	14	
17	1+13	12	13	14	15	
18	1+14	12	13	14	15	
19	1+15	16	17	18	19	
20	1+16	16	17	18	19	
21	1+17	16	17	18	19	
22	1+18	16	17	18	19	
23	1+19	20	21	22	23	
24	1+20	20	21	22	23	
25	1+21	20	21	22	23	
26	1+22	20	21	22	23	
27	1+23	1	12	12	12	
28	1+24	213	121233	123	213	
29	1+25	213	2131	213	123	
30	1+26	213	123	213	123	
1	1+1	1	3	2	4	
2	2+2	1	2	4	3	
3	2+3	1	3	5	6	
4	3+3	6	5	4	3	
5	2+8	10	11	12	13	
6	3+4	6	7	8	9	
7	6+6	10	11	12	13	
8	1+3	1	2	3	4	
9	1+4	2	3	4	5	
10	1+6	3	5	7	9	
11	1+7	8 	9	10	11	
12	1+8	8	9	10	11	
13	1+9	8	9	10	11	
14	1+10	8	9	10	12	
15	1+11	11	12	13	14	
16	1+12	11	12	13	14	
17	1+13	12	13	14	15	
18	1+14	12	13	14	15	
19	1+15	16	17	18	19	
20	1+16	16	17	18	19	
21	1+17	16	17	18	19	
22	1+18	16	17	18	19	
23	1+19	20	21	22	23	
24	1+20	20	21	22	23	
25	1+21	20	21	22	23	
26	1+22	20	21	22	23	
27	1+23	1	12	12	12	
28	1+24	213	121233	123	213	
29	1+25	213	2131	213	123	
30	1+26	213	123	213	123	
